Date,Description,Account Name,Amount Num.,TPS,TVQ
2011-12-05,Syntenic,Rent,25,,
2012-01-04,Quo Vadis,Rent,1722.58,86.13,171.83
2012-01-04,Quo Vadis,Rent,30,,
2012-04-02,Quo Vadis,Rent,1800,90,179.55
2012-06-30,Quo Vadis,Rent,1800,90,179.55
2012-09-30,Quo Vadis,Rent,1800,90,179.55
2013-01-01,Quo Vadis,Rent,1800,90,179.55
2013-04-01,Quo Vadis,Rent,1800,90,179.55
2013-06-01,Shareholder,Rent,1000,50,99.75
2013-07-01,Shareholder,Rent,1000,50,99.75
2013-08-01,Shareholder,Rent,1000,50,99.75
2013-09-01,Shareholder,Rent,1000,50,99.75
2013-10-01,Shareholder,Rent,1000,50,99.75
2013-11-01,Shareholder,Rent,1000,50,99.75
2013-12-01,Shareholder,Rent,1000,50,99.75
2014-07-01,Shareholder,Rent,500,25,49.875
2014-08-01,Shareholder,Rent,500,25,49.875
2014-09-01,Shareholder,Rent,500,25,49.875
2014-10-01,Shareholder,Rent,500,25,49.875
2014-11-01,Shareholder,Rent,500,25,49.875
2014-12-01,Shareholder,Rent,500,25,49.875
2015-05-01,Shareholder,Rent,500,25,49.875
2015-06-01,Shareholder,Rent,500,25,49.875
2015-07-01,Shareholder,Rent,500,25,49.875
2015-08-01,Shareholder,Rent,500,25,49.875
2015-09-01,Shareholder,Rent,500,25,49.875
2015-10-01,Shareholder,Rent,500,25,49.875
2015-11-01,Shareholder,Rent,500,25,49.875
2015-12-01,Shareholder,Rent,500,25,49.875
